article_title	PMID	sentence	short_form	long_form
Insight into Cisplatin-Resistance Signaling of W1 Ovarian Cancer Cells Emerges mTOR and HSP27 as Targets for Sensitization Strategies.	33287446	The microenvironment possesses a strong impact on the tumor chemoresistance when cells bind to components of the extracellular matrix. Here we elucidate the signaling pathways of cisplatin resistance in W1 ovarian cancer cells binding to collagen type 1 (COL1) and signaling interference with constitutive cisplatin resistance in W1CR cells to discover the targets for sensitization. Proteome kinase arrays and Western blots were used to identify the signaling components, their impact on cisplatin resistance was evaluated by inhibitory or knockdown approaches. W1 cell binding to COL1 upregulates integrin-associated signals via FAK/PRAS40/mTOR, confirmed by β1-integrin (ITGB1) knockdown. mTOR appears as key for resistance, its blockade reversed COL1 effects on W1 cell resistance completely. W1CR cells compensate ITGB1-knockdown by upregulation of discoidin domain receptor 1 (DDR1) as alternative COL1 sensor. COL1 binding via DDR1 activates the MAPK pathway, of which JNK1/2 appears critical for COL1-mediated resistance. JNK1/2 inhibition inverts COL1 effects in W1CR cells, whereas intrinsic cisplatin resistance remained unaffected. Remarkably, knockdown of HSP27, another downstream MAPK pathway component overcomes intrinsic resistance completely sensitizing W1CR cells to the level of W1 cells for cisplatin cytotoxicity. Our data confirm the independent regulation of matrix-induced and intrinsic chemoresistance in W1 ovarian cancer cells and offer novel targets for sensitization.	DDR1	 discoidin domain receptor 1
Insight into Cisplatin-Resistance Signaling of W1 Ovarian Cancer Cells Emerges mTOR and HSP27 as Targets for Sensitization Strategies.	33287446	The microenvironment possesses a strong impact on the tumor chemoresistance when cells bind to components of the extracellular matrix. Here we elucidate the signaling pathways of cisplatin resistance in W1 ovarian cancer cells binding to collagen type 1 (COL1) and signaling interference with constitutive cisplatin resistance in W1CR cells to discover the targets for sensitization. Proteome kinase arrays and Western blots were used to identify the signaling components, their impact on cisplatin resistance was evaluated by inhibitory or knockdown approaches. W1 cell binding to COL1 upregulates integrin-associated signals via FAK/PRAS40/mTOR, confirmed by β1-integrin (ITGB1) knockdown. mTOR appears as key for resistance, its blockade reversed COL1 effects on W1 cell resistance completely. W1CR cells compensate ITGB1-knockdown by upregulation of discoidin domain receptor 1 (DDR1) as alternative COL1 sensor. COL1 binding via DDR1 activates the MAPK pathway, of which JNK1/2 appears critical for COL1-mediated resistance. JNK1/2 inhibition inverts COL1 effects in W1CR cells, whereas intrinsic cisplatin resistance remained unaffected. Remarkably, knockdown of HSP27, another downstream MAPK pathway component overcomes intrinsic resistance completely sensitizing W1CR cells to the level of W1 cells for cisplatin cytotoxicity. Our data confirm the independent regulation of matrix-induced and intrinsic chemoresistance in W1 ovarian cancer cells and offer novel targets for sensitization.	COL1	 collagen type 1
Rye Snow Mold-Associated Microdochium nivale Strains Inhabiting a Common Area: Variability in Genetics, Morphotype, Extracellular Enzymatic Activities, and Virulence.	33287447	"Snow mold is a severe plant disease caused by psychrophilic or psychrotolerant fungi, of which Microdochium species are the most harmful. A clear understanding of Microdochium biology has many gaps; the pathocomplex and its dynamic are poorly characterized, virulence factors are unknown, genome sequences are not available, and the criteria of plant snow mold resistance are not elucidated. Our study aimed to identify comprehensive characteristics of a local community of snow mold-causing Microdochium species colonizing a particular crop culture. By using the next-generation sequencing (NGS) technique, we characterized fungal and bacterial communities of pink snow mold-affected winter rye (Secale cereale) plants within a given geographical location shortly after snowmelt. Twenty-one strains of M. nivale were isolated, classified on the basis of internal transcribed spacer 2 (ITS2) region, and characterized by morphology, synthesis of extracellular enzymes, and virulence. Several types of extracellular enzymatic activities, the level of which had no correlations with the degree of virulence, were revealed for Microdochium species for the first time. Our study shows that genetically and phenotypically diverse M. nivale strains simultaneously colonize winter rye plants within a common area, and each strain is likely to utilize its own, unique strategy to cause the disease using ""a personal"" pattern of extracellular enzymes."	ITS2	 internal transcribed spacer 2
Rye Snow Mold-Associated Microdochium nivale Strains Inhabiting a Common Area: Variability in Genetics, Morphotype, Extracellular Enzymatic Activities, and Virulence.	33287447	"Snow mold is a severe plant disease caused by psychrophilic or psychrotolerant fungi, of which Microdochium species are the most harmful. A clear understanding of Microdochium biology has many gaps; the pathocomplex and its dynamic are poorly characterized, virulence factors are unknown, genome sequences are not available, and the criteria of plant snow mold resistance are not elucidated. Our study aimed to identify comprehensive characteristics of a local community of snow mold-causing Microdochium species colonizing a particular crop culture. By using the next-generation sequencing (NGS) technique, we characterized fungal and bacterial communities of pink snow mold-affected winter rye (Secale cereale) plants within a given geographical location shortly after snowmelt. Twenty-one strains of M. nivale were isolated, classified on the basis of internal transcribed spacer 2 (ITS2) region, and characterized by morphology, synthesis of extracellular enzymes, and virulence. Several types of extracellular enzymatic activities, the level of which had no correlations with the degree of virulence, were revealed for Microdochium species for the first time. Our study shows that genetically and phenotypically diverse M. nivale strains simultaneously colonize winter rye plants within a common area, and each strain is likely to utilize its own, unique strategy to cause the disease using ""a personal"" pattern of extracellular enzymes."	NGS	 next-generation sequencing
Feeding Tall Fescue Seed Reduces Ewe Milk Production, Lamb Birth Weight and Pre-Weaning Growth Rate.	33287449	Endophyte-infected tall fescue (E+) produces ergovaline and ergovalinine, which are mycotoxins that act as dopamine agonists to suppress prolactin and induce vasoconstriction. The experiment was designed as a 3 × 2 × 2 factorial with DRD2 genotype (AA, AG, GG), fescue seed (endophyte-free, E- or endophyte-infected, E+), stage of gestation (MID, d (day) 35-85; LATE, d 86-parturition) and all interactions in the model. Pregnant Suffolk ewes (n = 60) were stratified by genotype and fed E+ or E- seed in a total mixed ration according to treatment assignment. Serum prolactin concentrations were lower (p < 0.05) in ewes fed E+ seed but did not differ by maternal DRD2 genotype or two-way interaction. Lamb birth weight was lower (p < 0.05) in ewes fed E+ seed in last trimester. Pre-weaning growth rate, milk production and total weaning weight was reduced (p < 0.05) in ewes fed E+ fescue seed during MID and LATE gestation. Ingestion of ergovaline/ergovalinine in last trimester reduces lamb birth weight; however, lamb growth rate, milk production and total weaning weight are reduced in all ewes fed E+ during mid and last trimester.	MID	 stage of gestation
Composites, Fabrication and Application of Polyvinylidene Fluoride for Flexible Electromechanical Devices: A Review.	33287450	The technological development of piezoelectric materials is crucial for developing wearable and flexible electromechanical devices. There are many inorganic materials with piezoelectric effects, such as piezoelectric ceramics, aluminum nitride and zinc oxide. They all have very high piezoelectric coefficients and large piezoelectric response ranges. The characteristics of high hardness and low tenacity make inorganic piezoelectric materials unsuitable for flexible devices that require frequent bending. Polyvinylidene fluoride (PVDF) and its derivatives are the most popular materials used in flexible electromechanical devices in recent years and have high flexibility, high sensitivity, high ductility and a certain piezoelectric coefficient. Owing to increasing the piezoelectric coefficient of PVDF, researchers are committed to optimizing PVDF materials and enhancing their polarity by a series of means to further improve their mechanical-electrical conversion efficiency. This paper reviews the latest PVDF-related optimization-based materials, related processing and polarization methods and the applications of these materials in, e.g., wearable functional devices, chemical sensors, biosensors and flexible actuator devices for flexible micro-electromechanical devices. We also discuss the challenges of wearable devices based on flexible piezoelectric polymer, considering where further practical applications could be.	PVDF	 Polyvinylidene fluoride
Comparison of Bisulfite Pyrosequencing and Methylation-Specific qPCR for Methylation Assessment.	33287451	Different methodological approaches are available to assess DNA methylation biomarkers. In this study, we evaluated two sodium bisulfite conversion-dependent methods, namely pyrosequencing and methylation-specific qPCR (MS-qPCR), with the aim of measuring the closeness of agreement of methylation values between these two methods and its effect when setting a cut-off. Methylation of tumor suppressor gene p16/INK4A was evaluated in 80 lung cancer patients from which cytological lymph node samples were obtained. Cluster analyses were used to establish methylated and unmethylated groups for each method. Agreement and concordance between pyrosequencing and MS-qPCR was evaluated with Pearson's correlation, Bland-Altman, Cohen's kappa index and ROC curve analyses. Based on these analyses, cut-offs were derived for MS-qPCR. An acceptable correlation (Pearson's R2 = 0.738) was found between pyrosequencing (PYRmean) and MS-qPCR (NMP; normalized methylation percentage), providing similar clinical results when categorizing data as binary using cluster analysis. Compared to pyrosequencing, MS-qPCR tended to underestimate methylation for values between 0 and 15%, while for methylation >30% overestimation was observed. The estimated cut-off for MS-qPCR data based on cluster analysis, kappa-index agreement and ROC curve analysis were much lower than that derived from pyrosequencing. In conclusion, our results indicate that independently of the approach used for estimating the cut-off, the methylation percentage obtained through MS-qPCR is lower than that calculated for pyrosequencing. These differences in data and therefore in the cut-off should be examined when using methylation biomarkers in the clinical practice.	MS-qPCR	 methylation-specific qPCR
The Role of Zinc and Copper in Gynecological Malignancies.	33287452	Zinc (Zn) and copper (Cu) are essential microelements, which take part in cellular metabolism, feature in enzymatic systems, and regulate enzyme activity. Homeostasis of these micronutrients is tightly regulated by multiple compensatory mechanisms that balance their concentrations including transporters, importers, and metallothioneins. An altered intake of only one of these trace elements may cause an imbalance in their levels and result in their competition for absorption. Relatively low levels of zinc and increased levels of copper may result in an increased level of oxidative stress and impair the antioxidant properties of multiple enzymes. Altered levels of trace elements were discovered in various pathologies including immunological, degenerative, and inflammatory diseases. Moreover, due to the role of Zn and Cu in oxidative stress and chronic inflammation, they were found to influence cancerogenesis. We review the roles of zinc and copper and their mechanisms in tumor growth, metastasis potential, microenvironment remodeling, and drug resistance. We highlight their role as potential biomarkers for cancer diagnosis, treatment, and prognosis, concentrating on their impact on gynecological malignancies.	ĠZn	 copper
The Role of Zinc and Copper in Gynecological Malignancies.	33287452	Zinc (Zn) and copper (Cu) are essential microelements, which take part in cellular metabolism, feature in enzymatic systems, and regulate enzyme activity. Homeostasis of these micronutrients is tightly regulated by multiple compensatory mechanisms that balance their concentrations including transporters, importers, and metallothioneins. An altered intake of only one of these trace elements may cause an imbalance in their levels and result in their competition for absorption. Relatively low levels of zinc and increased levels of copper may result in an increased level of oxidative stress and impair the antioxidant properties of multiple enzymes. Altered levels of trace elements were discovered in various pathologies including immunological, degenerative, and inflammatory diseases. Moreover, due to the role of Zn and Cu in oxidative stress and chronic inflammation, they were found to influence cancerogenesis. We review the roles of zinc and copper and their mechanisms in tumor growth, metastasis potential, microenvironment remodeling, and drug resistance. We highlight their role as potential biomarkers for cancer diagnosis, treatment, and prognosis, concentrating on their impact on gynecological malignancies.	Cu	 copper
The Role of Zinc and Copper in Gynecological Malignancies.	33287452	Zinc (Zn) and copper (Cu) are essential microelements, which take part in cellular metabolism, feature in enzymatic systems, and regulate enzyme activity. Homeostasis of these micronutrients is tightly regulated by multiple compensatory mechanisms that balance their concentrations including transporters, importers, and metallothioneins. An altered intake of only one of these trace elements may cause an imbalance in their levels and result in their competition for absorption. Relatively low levels of zinc and increased levels of copper may result in an increased level of oxidative stress and impair the antioxidant properties of multiple enzymes. Altered levels of trace elements were discovered in various pathologies including immunological, degenerative, and inflammatory diseases. Moreover, due to the role of Zn and Cu in oxidative stress and chronic inflammation, they were found to influence cancerogenesis. We review the roles of zinc and copper and their mechanisms in tumor growth, metastasis potential, microenvironment remodeling, and drug resistance. We highlight their role as potential biomarkers for cancer diagnosis, treatment, and prognosis, concentrating on their impact on gynecological malignancies.	Zn	 Zinc
