article_title	PMID	sentence	short_form	long_form
Insight into Cisplatin-Resistance Signaling of W1 Ovarian Cancer Cells Emerges mTOR and HSP27 as Targets for Sensitization Strategies.	33287446	Here we elucidate the signaling pathways of cisplatin resistance in W1 ovarian cancer cells binding to collagen type 1 (COL1) and signaling interference with constitutive cisplatin resistance in W1CR cells to discover the targets for sensitization.	COL1	collagen type 1
Insight into Cisplatin-Resistance Signaling of W1 Ovarian Cancer Cells Emerges mTOR and HSP27 as Targets for Sensitization Strategies.	33287446	W1CR cells compensate ITGB1-knockdown by upregulation of discoidin domain receptor 1 (DDR1) as alternative COL1 sensor.	DDR1	discoidin domain receptor 1
Rye Snow Mold-Associated Microdochium nivale Strains Inhabiting a Common Area: Variability in Genetics, Morphotype, Extracellular Enzymatic Activities, and Virulence.	33287447	By using the next-generation sequencing (NGS) technique, we characterized fungal and bacterial communities of pink snow mold-affected winter rye (Secale cereale) plants within a given geographical location shortly after snowmelt.	NGS	next-generation sequencing
Rye Snow Mold-Associated Microdochium nivale Strains Inhabiting a Common Area: Variability in Genetics, Morphotype, Extracellular Enzymatic Activities, and Virulence.	33287447	Twenty-one strains of M. nivale were isolated, classified on the basis of internal transcribed spacer 2 (ITS2) region, and characterized by morphology, synthesis of extracellular enzymes, and virulence.	ITS2	internal transcribed spacer 2
Feeding Tall Fescue Seed Reduces Ewe Milk Production, Lamb Birth Weight and Pre-Weaning Growth Rate.	33287449	Endophyte-infected tall fescue (E+) produces ergovaline and ergovalinine, which are mycotoxins that act as dopamine agonists to suppress prolactin and induce vasoconstriction.	E+	Endophyte-infected tall fescue
Composites, Fabrication and Application of Polyvinylidene Fluoride for Flexible Electromechanical Devices: A Review.	33287450	Polyvinylidene fluoride (PVDF) and its derivatives are the most popular materials used in flexible electromechanical devices in recent years and have high flexibility, high sensitivity, high ductility and a certain piezoelectric coefficient.	PVDF	Polyvinylidene fluoride
Comparison of Bisulfite Pyrosequencing and Methylation-Specific qPCR for Methylation Assessment.	33287451	In this study, we evaluated two sodium bisulfite conversion-dependent methods, namely pyrosequencing and methylation-specific qPCR (MS-qPCR), with the aim of measuring the closeness of agreement of methylation values between these two methods and its effect when setting a cut-off.	MS-qPCR	methylation-specific qPCR
The Role of Zinc and Copper in Gynecological Malignancies.	33287452	Zinc (Zn) and copper (Cu) are essential microelements, which take part in cellular metabolism, feature in enzymatic systems, and regulate enzyme activity.	Zn	Zinc
Prolidase Stimulates Proliferation and Migration through Activation of the PI3K/Akt/mTOR Signaling Pathway in Human Keratinocytes.	33287453	Recent reports have indicated prolidase (PEPD) as a ligand of the epidermal growth factor receptor (EGFR).	EGFR	epidermal growth factor receptor
Prolidase Stimulates Proliferation and Migration through Activation of the PI3K/Akt/mTOR Signaling Pathway in Human Keratinocytes.	33287453	The expression of downstream signaling proteins induced by EGFR, insulin-like growth factor 1 (IGF-1), transforming growth factor β1 (TGF-β1), and β1-integrin receptors were evaluated by Western immunoblotting and immunocytochemical staining.	IGF-1	insulin-like growth factor 1
Prolidase Stimulates Proliferation and Migration through Activation of the PI3K/Akt/mTOR Signaling Pathway in Human Keratinocytes.	33287453	The expression of downstream signaling proteins induced by EGFR, insulin-like growth factor 1 (IGF-1), transforming growth factor β1 (TGF-β1), and β1-integrin receptors were evaluated by Western immunoblotting and immunocytochemical staining.	TGF-β1	transforming growth factor β1
Biodegradable Hydrogels Loaded with Magnetically Responsive Microspheres as 2D and 3D Scaffolds.	33287454	The present work reports on a responsive scaffold based on poly (L-lactic acid) (PLLA) microspheres and magnetic microsphere nanocomposites composed of PLLA and magnetostrictive cobalt ferrites (CoFe2O4), combined with a hydrogel matrix, which mimics the tissue's hydrated environment and acts as a support matrix.	PLLA	poly (L-lactic acid)
Systematic Review and Network Meta-Analysis of Immune Checkpoint Inhibitors in Combination with Chemotherapy as a First-Line Therapy for Extensive-Stage Small Cell Carcinoma.	33287455	Patients with extensive-stage small cell lung cancer (ED-SCLC) have a very short survival time even if they receive standard cytotoxic chemotherapy with etoposide and platinum (EP).	EP	etoposide and platinum
Systematic Review and Network Meta-Analysis of Immune Checkpoint Inhibitors in Combination with Chemotherapy as a First-Line Therapy for Extensive-Stage Small Cell Carcinoma.	33287455	Several randomized controlled trials have shown that patients with ED-SCLC who received a combination of EP plus immune checkpoint inhibitors (ICIs) had superior survival compared with those who received EP alone.	ICIs	immune checkpoint inhibitors
Systematic Review and Network Meta-Analysis of Immune Checkpoint Inhibitors in Combination with Chemotherapy as a First-Line Therapy for Extensive-Stage Small Cell Carcinoma.	33287455	We conducted a systematic review and network meta-analysis to provide a ranking of ICIs for our primary endpoints in terms of overall survival (OS), progression free survival (PFS), and objective response rate (ORR), as well as our secondary endpoint in terms of adverse events.	OS	overall survival
Systematic Review and Network Meta-Analysis of Immune Checkpoint Inhibitors in Combination with Chemotherapy as a First-Line Therapy for Extensive-Stage Small Cell Carcinoma.	33287455	We conducted a systematic review and network meta-analysis to provide a ranking of ICIs for our primary endpoints in terms of overall survival (OS), progression free survival (PFS), and objective response rate (ORR), as well as our secondary endpoint in terms of adverse events.	PFS	progression free survival
Systematic Review and Network Meta-Analysis of Immune Checkpoint Inhibitors in Combination with Chemotherapy as a First-Line Therapy for Extensive-Stage Small Cell Carcinoma.	33287455	We conducted a systematic review and network meta-analysis to provide a ranking of ICIs for our primary endpoints in terms of overall survival (OS), progression free survival (PFS), and objective response rate (ORR), as well as our secondary endpoint in terms of adverse events.	ORR	objective response rate
Systematic Review and Network Meta-Analysis of Immune Checkpoint Inhibitors in Combination with Chemotherapy as a First-Line Therapy for Extensive-Stage Small Cell Carcinoma.	33287455	Treatment rank was estimated using the surface under the cumulative ranking curve (SUCRA), as well as the probability of being best (Prbest) reference.	SUCRA	surface under the cumulative ranking curve
Systematic Review and Network Meta-Analysis of Immune Checkpoint Inhibitors in Combination with Chemotherapy as a First-Line Therapy for Extensive-Stage Small Cell Carcinoma.	33287455	Treatment rank was estimated using the surface under the cumulative ranking curve (SUCRA), as well as the probability of being best (Prbest) reference.	Prbest	probability of being best
Disturbed Eating Behaviors in Youth with Type 1 Diabetes: An Exploratory Study about Challenges in Diagnosis.	33287458	Disordered eating behaviors (DEBs), including diagnosable eating disorders, are quite common and can interfere with optimal type 1 diabetes (T1DM) management.	DEBs	Disordered eating behaviors
Disturbed Eating Behaviors in Youth with Type 1 Diabetes: An Exploratory Study about Challenges in Diagnosis.	33287458	"We explored DEBs prevalence in youth with T1DM, proposing news diagnostic subscales, to represent the clinical dimensions associated with feeding and eating disorders (ED); Methods: additionally to SCOFF questionnaire and Diabetes Eating Problem Survey-Revised (DEPS-R), four subscales combined from the original DEPS-R questionnaire were administered to 40 youths with T1DM (15.0 ± 2.6); Results: females showed higher scores than males in DEPS-R original factor 2 (""preoccupations with thinness/weight"", p = 0.024) and in DEPS-R proposed ""restriction"" factor (p = 0.009)."	ED	eating disorders
Disturbed Eating Behaviors in Youth with Type 1 Diabetes: An Exploratory Study about Challenges in Diagnosis.	33287458	"We explored DEBs prevalence in youth with T1DM, proposing news diagnostic subscales, to represent the clinical dimensions associated with feeding and eating disorders (ED); Methods: additionally to SCOFF questionnaire and Diabetes Eating Problem Survey-Revised (DEPS-R), four subscales combined from the original DEPS-R questionnaire were administered to 40 youths with T1DM (15.0 ± 2.6); Results: females showed higher scores than males in DEPS-R original factor 2 (""preoccupations with thinness/weight"", p = 0.024) and in DEPS-R proposed ""restriction"" factor (p = 0.009)."	DEPS-R	Diabetes Eating Problem Survey-Revised
Development of Genotype-Specific Anti-Bovine Rotavirus A Immunoglobulin Yolk Based on a Current Molecular Epidemiological Analysis of Bovine Rotaviruses A Collected in Japan during 2017-2020.	33287460	Bovine rotavirus A (RVA), a major causative pathogen of diarrhea in dairy and Japanese beef calves, has led to severe economic losses in numerous countries.	RVA	rotavirus A
Development of Genotype-Specific Anti-Bovine Rotavirus A Immunoglobulin Yolk Based on a Current Molecular Epidemiological Analysis of Bovine Rotaviruses A Collected in Japan during 2017-2020.	33287460	After we produced anti-bovine RVA immunoglobulin yolks (IgYs) from hens immunized with the two RVAs with different genotypes (G6P[5] and G10P[11]) selected on the basis of the current epidemiological survey, we investigated cross-reactivity against bovine RVAs with different G and P combinations owing to establish a useful strategy to protect calves from RVA infections using the two IgYs.	IgYs	immunoglobulin yolks
Fatty-Acid-Binding Protein 4 as a Novel Contributor to Mononuclear Cell Activation and Endothelial Cell Dysfunction in Atherosclerosis.	33287461	Background-Elevated circulating fatty-acid-binding protein 4 (FABP4) levels may be linked with cardiovascular events.	FABP4	fatty-acid-binding protein 4
Fatty-Acid-Binding Protein 4 as a Novel Contributor to Mononuclear Cell Activation and Endothelial Cell Dysfunction in Atherosclerosis.	33287461	Methods-We recruited 22 patients with angiographically proven coronary artery disease (CAD) and 40 control subjects.	CAD	coronary artery disease
Fatty-Acid-Binding Protein 4 as a Novel Contributor to Mononuclear Cell Activation and Endothelial Cell Dysfunction in Atherosclerosis.	33287461	Mononuclear cells (MNCs) and human coronary endothelial cells (HCAECs) were used for in vitro study.	MNCs	Mononuclear cells
